Description mine;Ciel ouvert
Description mine;Étroit
Description mine;Grand
Description mine;Grotte
Description mine;Mine
Description mine;Noir
Description mine;Obscure
Description mine;Ombre
Description mine;Profondeur
Description mine;Sombre
Description mine;Souterrain
Description mine;Trou
Description mine;Tunnel
Foncier;Aménagement
Foncier;Foncier
Foncier;Privé
Foncier;Propriété
Foncier;Terre coutumière
Localité;Houaïlou
Localité;Koniambo
Localité;Népoui
Localité;Thio
Localité;Tiébaghi
Localité;Vavouto
Localité;Province Nord
Localité;VKP
Localité;Yaté
Site minier;Expansion
Site minier;Lieu
Site minier;Local
Site minier;Schéma minier
Site minier;Terre exploitée
Site minier;Centre minier
Site minier;Commune minière
Site minier;Milieu
Alternative;Décroissance
Alternative;Développement durable
Alternative;Activité
Alternative;Agriculture
Alternative;Tourisme
Développement;Croissance
Développement;Développement
Développement;Développement d’activités
Développement;Développement économique
Développement;Développement territorial
Développement;Évolution
Développement;Frein
Développement;Infrastructure
Développement;Projet
Développement;Projet Lucy
Commerce;Commerce
Commerce;Commerce international
Commerce;Exportation
Commerce;Flux
Commerce;Importation
Commerce;Marchandise
Commerce;Marché
Commerce;Vendre
Commerce;Vente
Entreprise;Colas
Entreprise;Entreprise
Entreprise;FTN
Entreprise;Multinationale
Entreprise;Tertiaire
Exportation;Bateau
Exportation;Minéralier
Argent;Argent
Argent;Monnaie
Argent;Revenu
Argent;Salaire
Argent;Source
Économie;Bénéfice
Économie;Économie
Économie;Instable
Économie;PIB
Économie;Retombées
Économie;Économie fictive
Économie;Économie positive
Économie;Valeur économique
Économie;Valeur
Investissement;Finance
Investissement;Financement
Fiscalité;Avantage
Fiscalité;Avantage fiscaux
Fiscalité;Dette
Fiscalité;Endettement
Fiscalité;Profit
Fiscalité;Exonération
Investissement;Apport
Investissement;Capitalisation
Investissement;Dividende
Amélioration environnementale;Avancement
Amélioration environnementale;Écologie
Amélioration environnementale;Protection
Amélioration environnementale;Reboisement
Amélioration environnementale;Réparation
Amélioration environnementale;Revégétalisation
Biodiversité;Mort
Biodiversité;Arbre
Biodiversité;Arbuste
Biodiversité;Biodiversité
Biodiversité;Corail
Biodiversité;Diversité
Biodiversité;Endémique
Biodiversité;Endémisme
Biodiversité;Espèce endémique
Biodiversité;Faune
Biodiversité;Flore
Biodiversité;Plante endémique
Biodiversité;Poisson
Changement;Changement
Changement;Déformation
Changement;Transformation
Changement climatique;Bouleversement
Changement climatique;Climat
Changement climatique;Effet de serre
Changement climatique;Espèce en voie de disparition
Changement climatique;Glissement de terrain
Changement climatique;Problème écologique
Changement climatique;Réchauffement climatique
Changement climatique;Sécheresse
Destruction;Catastrophe
Destruction;Déforestation
Destruction;Dégâts
Destruction;Dégradation
Destruction;Démolition
Destruction;Destruction
Destruction;Détruire
Destruction;Disparition
Destruction;Engravement
Destruction;Érosion
Environnement;Conséquence
Environnement;Défrichement
Environnement;Désastre
Environnement;Eau salubre
Environnement;Éboulement
Environnement;Environnement
Environnement;Impact
Environnement;Inondation
Environnement;Ruisellement
Environnement;Extinction
Montagne;Montagne
Montagne;Paysage
Nature;Écosystème
Nature;Forêt sèche
Nature;Lagon
Nature;Maquis Minier
Nature;Mer
Nature;Nature
Nature;Naturel
Nature;Récif
Nature;Ruisseau
Nature;Verdure
Terre;Rouge
Terre;Sol
Terre;Terre
Terre;Terre rouge
Engin;Camion
Engin;Contracteur
Engin;Convoyeur 
Engin;Engin
Engin;Roue
Engin;Tractopelle
Équipement;Badge
Équipement;Casque
Équipement;Chaussure de sécurité
Équipement;EPI
Équipement;Gilet
Équipement;Gilet fluo
Équipement;Lampe
Équipement;Lunette
Équipement;Tenue de travail
Exploitation;Dynamite
Exploitation;Exploitation
Exploitation;Explosion
Exploitation;Extraction
Exploitation;Long
Exploitation;Long-terme
Exploitation;Modernisation
Gisement;Charbon
Gisement;Cuivre
Gisement;Diamant
Gisement;Granite
Gisement;Jade
Gisement;Or
Gisement;Pétrole
Machine;Machine
Machine;Serpentine
Machine;Tapis roulant
Machine;Wagonnet
Outil;Outil
Outil;Pelle
Outil;Pioche
Travail;Atelier
Travail;Bloc
Travail;Chantier
Travail;Creuser
Travail;Équipe
Travail;Polyvalent
Travail;Roulement
Culture Pop;7 nains
Culture Pop;Gimli
Culture Pop;Minecraft
Hors sujet;Crayon
Industrie;Délocalisation
Industrie;Industrialisation
Industrie;Industrie
Métallurgie;Hydrométallurgie
Métallurgie;Métallurgie
Métallurgie;Résidu
Métallurgie;Scorie
Métallurgie;Sidérurgie
Usine;Cheminée
Usine;Doniambo
Usine;Four
Usine;Fumée
Usine;Goro
Usine;Usine
Usine;Usine de Doniambo
Usine;Usine du Sud
Usine;Usine Nord
Minerai;Caillou
Minerai;Cobalt
Minerai;Garniérite
Minerai;Latérite
Minerai;Minerai
Minerai;Minéral
Minerai;Pierre
Minerai;Roche
Minerai;Rocher
Minerai;Vert
Nickel;Matière
Nickel;Matière première
Nickel;Métaux rares
Nickel;Nickel
Nickel;Précieux
Ressource;Consommation
Ressource;Diminution
Ressource;Malédiction
Ressource;Mise en valeur
Ressource;Non-renouvelable
Ressource;Raréfaction
Ressource;Ressource
Ressource;Ressource économique
Ressource;Ressource épuisable
Ressource;Ressource fossile
Ressource;Ressource naturelle
Ressource;Stratégie
